Categoria,Ciudad,Pais/Región,Nombre del Cliente,Proveedor,Fecha de Orden,ID Orden,Codigo Postal,Nombre de Producto,Region,Segmento,Fecha de Envio,Modo de Envio,Estado/Provincia,Sub-Categoria,Descuento,Ganancia,Cantidad,Ventas
Suministros de Oficina,Paterson,United States,Skye Norling,Xerox,11/09/2020,US-2020-125934,7501,Xerox 208,Este,Home Office,18/09/2020,Standard Class,New Jersey,Papel,0,18.6624,6,38.88
Suministros de Oficina,New York City,United States,Don Miller,Fellowes,11/09/2020,US-2020-132465,10035,Fellowes Staxonsteel Drawer Files,Este,Corporativo,15/09/2020,Second Class,New York,Almacenamiento,0,108.1752,4,772.68
Suministros de Oficina,New York City,United States,Don Miller,Space Solutions,11/09/2020,US-2020-132465,10035,Space Solutions Industrial Galvanized Steel Shelving.,Este,Corporativo,15/09/2020,Second Class,New York,Almacenamiento,0,1.576,1,78.8
Tecnología,New York City,United States,Don Miller,Logitech,11/09/2020,US-2020-132465,10035,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Este,Corporativo,15/09/2020,Second Class,New York,Accesorios,0,6.7966,1,19.99
Suministros de Oficina,Auburn,United States,Tamara Manning,Binney & Smith,12/09/2020,US-2020-102016,13021,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Este,Consumidor,18/09/2020,Standard Class,New York,Arte,0,3.0558,2,9.26
Suministros de Oficina,Auburn,United States,Tamara Manning,Tyvek,12/09/2020,US-2020-102016,13021,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Este,Consumidor,18/09/2020,Standard Class,New York,Sobres,0,12.7746,1,27.18
Suministros de Oficina,Auburn,United States,Tamara Manning,OIC,12/09/2020,US-2020-102016,13021,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",Este,Consumidor,18/09/2020,Standard Class,New York,Ajustadores,0,0.5828,1,1.24
Suministros de Oficina,New York City,United States,Paul Gonzalez,Avery,12/09/2020,US-2020-166464,10035,Avery 520,Este,Consumidor,17/09/2020,Standard Class,New York,Etiquetas,0,6.048,4,12.6
Suministros de Oficina,Auburn,United States,Tamara Manning,Avery,12/09/2020,US-2020-102016,13021,Avery 489,Este,Consumidor,18/09/2020,Standard Class,New York,Etiquetas,0,9.936,2,20.7
Suministros de Oficina,Auburn,United States,Tamara Manning,HP,12/09/2020,US-2020-102016,13021,HP Office Recycled Paper (20Lb. and 87 Bright),Este,Consumidor,18/09/2020,Standard Class,New York,Papel,0,14.161,5,28.9
Suministros de Oficina,Auburn,United States,Tamara Manning,Gould Plastics,12/09/2020,US-2020-102016,13021,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Este,Consumidor,18/09/2020,Standard Class,New York,Almacenamiento,0,4.2392,2,105.98
Tecnología,Seattle,United States,Craig Carreira,Memorex,12/09/2020,US-2020-128993,98103,Memorex Froggy Flash Drive 4 GB,Oeste,Consumidor,17/09/2020,Second Class,Washington,Accesorios,0,8.5722,2,21.98
Tecnología,New York City,United States,Paul Gonzalez,Hewlett-Packard,12/09/2020,US-2020-166464,10035,Hewlett Packard 310 Color Digital Copier,Este,Consumidor,17/09/2020,Standard Class,New York,Copiadoras,0.2,59.998,2,479.984
Muebles,Columbus,United States,Zuschuss Carroll,Hon,13/09/2020,US-2020-115567,47201,Hon Multipurpose Stacking Arm Chairs,Central,Consumidor,18/09/2020,Standard Class,Indiana,Sillas,0,394.212,7,1516.2
Muebles,Anaheim,United States,Ken Dana,Global,13/09/2020,US-2020-129007,92804,Global Comet Stacking Armless Chair,Oeste,Corporativo,15/09/2020,First Class,California,Sillas,0.2,71.772,3,717.72
Muebles,Chicago,United States,Arthur Gainer,Global,13/09/2020,US-2020-136728,60623,"Global Value Steno Chair, Gray",Central,Consumidor,17/09/2020,Second Class,Illinois,Sillas,0.3,-12.148,4,170.072
Muebles,Anaheim,United States,Ken Dana,Eldon,13/09/2020,US-2020-129007,92804,Eldon Econocleat Chair Mats for Low Pile Carpets,Oeste,Corporativo,15/09/2020,First Class,California,Muebleria,0,24.882,5,207.35
Muebles,Atlanta,United States,Jonathan Howell,Eldon,13/09/2020,US-2020-118843,30318,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,Sur,Consumidor,20/09/2020,Standard Class,Georgia,Muebleria,0,12.993,3,129.93
Muebles,Anaheim,United States,Ken Dana,Tensor,13/09/2020,US-2020-129007,92804,Tensor Computer Mounted Lamp,Oeste,Corporativo,15/09/2020,First Class,California,Muebleria,0,12.0609,3,44.67
Muebles,Anaheim,United States,Ken Dana,Other,13/09/2020,US-2020-129007,92804,Flat Face Poster Frame,Oeste,Corporativo,15/09/2020,First Class,California,Muebleria,0,55.3896,7,131.88
Suministros de Oficina,Jacksonville,United States,Anne McFarland,Other,13/09/2020,US-2020-138457,28540,Heavy-Duty E-Z-D Binders,Sur,Consumidor,17/09/2020,Standard Class,North Carolina,Portafolio,0.7,-10.0372,4,13.092
Suministros de Oficina,Anaheim,United States,Ken Dana,Acco,13/09/2020,US-2020-129007,92804,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",Oeste,Corporativo,15/09/2020,First Class,California,Portafolio,0.2,7.8225,3,25.032
Suministros de Oficina,Philadelphia,United States,Harry Greene,Fellowes,13/09/2020,US-2020-161347,19120,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Este,Consumidor,19/09/2020,Standard Class,Pennsylvania,Portafolio,0.7,-2.01,1,2.412
Suministros de Oficina,Chicago,United States,Arthur Gainer,Staple envelope,13/09/2020,US-2020-136728,60623,Staple envelope,Central,Consumidor,17/09/2020,Second Class,Illinois,Sobres,0.2,2.934,1,7.824
Suministros de Oficina,Anaheim,United States,Ken Dana,Xerox,13/09/2020,US-2020-129007,92804,Xerox 1915,Oeste,Corporativo,15/09/2020,First Class,California,Papel,0,100.656,2,209.7
Suministros de Oficina,Atlanta,United States,Jonathan Howell,Xerox,13/09/2020,US-2020-118843,30318,Xerox 1948,Sur,Consumidor,20/09/2020,Standard Class,Georgia,Papel,0,31.4685,7,69.93
Tecnología,Columbus,United States,Zuschuss Carroll,Other,13/09/2020,US-2020-115567,47201,Case Logic 2.4GHz Wireless Keyboard,Central,Consumidor,18/09/2020,Standard Class,Indiana,Accesorios,0,15.9968,4,199.96
Muebles,Los Angeles,United States,Stefania Perrino,KI,14/09/2020,US-2020-131597,90045,KI Conference Tables,Oeste,Corporativo,18/09/2020,Standard Class,California,Mesas,0.2,-8.5068,3,170.136
Muebles,Provo,United States,Christina Anderson,Lesro,14/09/2020,US-2020-120362,84604,"Lesro Round Back Collection Coffee Table, End Table",Oeste,Consumidor,19/09/2020,Standard Class,Utah,Mesas,0,118.6575,5,912.75
Suministros de Oficina,New York City,United States,Craig Carroll,Wilson Jones,14/09/2020,US-2020-140984,10011,Wilson Jones Easy Flow II Sheet Lifters,Este,Consumidor,18/09/2020,Standard Class,New York,Portafolio,0.2,4.536,9,12.96
Suministros de Oficina,Des Moines,United States,Brad Eason,Wilson Jones,14/09/2020,US-2020-115924,50315,Wilson Jones Impact Binders,Central,Home Office,18/09/2020,Second Class,Iowa,Portafolio,0,12.691,5,25.9
Suministros de Oficina,New York City,United States,Craig Carroll,Other,14/09/2020,US-2020-140984,10011,Economy Rollaway Files,Este,Consumidor,18/09/2020,Standard Class,New York,Almacenamiento,0,257.712,6,991.2
Suministros de Oficina,North Charleston,United States,Christopher Martinez,Fellowes,14/09/2020,US-2020-128027,29406,Fellowes Officeware Wire Shelving,Sur,Consumidor,17/09/2020,Second Class,South Carolina,Almacenamiento,0,5.3898,3,269.49
Tecnología,New York City,United States,Craig Carroll,Sharp,14/09/2020,US-2020-140984,10011,Sharp 1540cs Digital Laser Copier,Este,Consumidor,18/09/2020,Standard Class,New York,Copiadoras,0.2,329.994,2,879.984
Muebles,New York City,United States,Brendan Murry,Bush,15/09/2020,US-2020-105102,10035,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Este,Corporativo,19/09/2020,Second Class,New York,Libreros,0.2,1.1596,1,46.384
Muebles,Mobile,United States,Natalie Webber,Global,15/09/2020,US-2020-102582,36608,"Global Manager's Adjustable Task Chair, Storm",Sur,Consumidor,19/09/2020,Standard Class,Alabama,Sillas,0,306.4894,7,1056.86
Muebles,Coral Springs,United States,Nat Gilpin,Ultra,15/09/2020,US-2020-130519,33065,Ultra Door Push Plate,Sur,Corporativo,15/09/2020,Mismo Dia,Florida,Muebleria,0.2,2.5532,4,15.712
Muebles,Coral Springs,United States,Nat Gilpin,Tenex,15/09/2020,US-2020-130519,33065,"Tenex ""The Solids"" Textured Chair Mats",Sur,Corporativo,15/09/2020,Mismo Dia,Florida,Muebleria,0.2,-2.0988,1,55.968
Muebles,Mobile,United States,Natalie Webber,Bretford,15/09/2020,US-2020-102582,36608,Bretford CR8500 Series Meeting Room Furniture,Sur,Consumidor,19/09/2020,Standard Class,Alabama,Mesas,0,200.49,2,801.96
Suministros de Oficina,Indianapolis,United States,Carol Triggs,Other,15/09/2020,US-2020-145849,46203,Manco Dry-Lighter Erasable Highlighter,Central,Consumidor,17/09/2020,Second Class,Indiana,Arte,0,8.2688,8,24.32
Suministros de Oficina,New York City,United States,Brendan Murry,GBC,15/09/2020,US-2020-105102,10035,GBC Twin Loop Wire Binding Elements,Este,Corporativo,19/09/2020,Second Class,New York,Portafolio,0.2,29.952,3,79.872
Suministros de Oficina,Philadelphia,United States,Ann Chong,Avery,15/09/2020,US-2020-100734,19143,Avery Hidden Tab Dividers for Binding Systems,Este,Corporativo,20/09/2020,Standard Class,Pennsylvania,Portafolio,0.7,-2.8608,4,3.576
Suministros de Oficina,Coral Springs,United States,Nat Gilpin,Xerox,15/09/2020,US-2020-130519,33065,Xerox 21,Sur,Corporativo,15/09/2020,Mismo Dia,Florida,Papel,0.2,5.4432,3,15.552
Suministros de Oficina,New York City,United States,Brendan Murry,Xerox,15/09/2020,US-2020-105102,10035,Xerox 1967,Este,Corporativo,19/09/2020,Second Class,New York,Papel,0,6.2208,2,12.96
Suministros de Oficina,Indianapolis,United States,Carol Triggs,Fellowes,15/09/2020,US-2020-145849,46203,Fellowes Stor/Drawer Steel Plus Storage Drawers,Central,Consumidor,17/09/2020,Second Class,Indiana,Almacenamiento,0,11.4516,2,190.86
Suministros de Oficina,Coral Springs,United States,Nat Gilpin,Decoflex,15/09/2020,US-2020-130519,33065,"Decoflex Hanging Personal Folder File, Blue",Sur,Corporativo,15/09/2020,Mismo Dia,Florida,Almacenamiento,0.2,2.1588,2,24.672
Suministros de Oficina,Philadelphia,United States,Ann Chong,Gould Plastics,15/09/2020,US-2020-100734,19143,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Este,Corporativo,20/09/2020,Standard Class,Pennsylvania,Almacenamiento,0.2,-29.4368,2,147.184
Tecnología,Mobile,United States,Natalie Webber,Anker,15/09/2020,US-2020-102582,36608,Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,Sur,Consumidor,19/09/2020,Standard Class,Alabama,Telefonos,0,0,3,59.97
Suministros de Oficina,Newport News,United States,Bradley Drucker,Staple envelope,16/09/2020,US-2020-167696,23602,Staple envelope,Sur,Consumidor,21/09/2020,Standard Class,Virginia,Sobres,0,14.6264,4,31.12
Muebles,New York City,United States,Peter Fuller,DMI,17/09/2020,US-2020-126977,10035,DMI Eclipse Executive Suite Bookcases,Este,Consumidor,23/09/2020,Standard Class,New York,Libreros,0.2,-25.049,5,2003.92
Muebles,Philadelphia,United States,Tracy Blumstein,Riverside,17/09/2020,US-2020-150630,19140,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Este,Consumidor,21/09/2020,Standard Class,Pennsylvania,Libreros,0.5,-1665.0522,7,3083.43
Muebles,New York City,United States,Peter Fuller,Riverside,17/09/2020,US-2020-126977,10035,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Este,Consumidor,23/09/2020,Standard Class,New York,Libreros,0.2,158.5764,6,4228.704
Muebles,New York City,United States,Peter Fuller,Office Star,17/09/2020,US-2020-126977,10035,Office Star Flex Back Scooter Chair with White Frame,Este,Consumidor,23/09/2020,Standard Class,New York,Sillas,0.1,8.8784,2,199.764
Muebles,Houston,United States,Sylvia Foulston,Howard Miller,17/09/2020,US-2020-143077,77041,Howard Miller Distant Time Traveler Alarm Clock,Central,Corporativo,21/09/2020,Standard Class,Texas,Muebleria,0.6,-10.4196,2,21.936
Muebles,Philadelphia,United States,Tracy Blumstein,Howard Miller,17/09/2020,US-2020-150630,19140,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Este,Consumidor,21/09/2020,Standard Class,Pennsylvania,Muebleria,0.2,15.525,3,124.2
Muebles,New York City,United States,Lindsay Shagiari,Riverside,17/09/2020,US-2020-138919,10035,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Este,Home Office,21/09/2020,Standard Class,New York,Mesas,0.4,-103.266,2,344.22
Suministros de Oficina,Philadelphia,United States,Tracy Blumstein,Other,17/09/2020,US-2020-150630,19140,Lumber Crayons,Este,Consumidor,21/09/2020,Standard Class,Pennsylvania,Arte,0.2,3.546,2,15.76
Suministros de Oficina,Philadelphia,United States,Tracy Blumstein,Boston,17/09/2020,US-2020-150630,19140,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Este,Consumidor,21/09/2020,Standard Class,Pennsylvania,Arte,0.2,9.7092,6,86.304
Suministros de Oficina,Houston,United States,Sylvia Foulston,GBC,17/09/2020,US-2020-143077,77041,GBC Imprintable Covers,Central,Corporativo,21/09/2020,Standard Class,Texas,Portafolio,0.8,-10.2114,3,6.588
Suministros de Oficina,Philadelphia,United States,Tracy Blumstein,Avery,17/09/2020,US-2020-150630,19140,Avery Recycled Flexi-View Covers for Binding Systems,Este,Consumidor,21/09/2020,Standard Class,Pennsylvania,Portafolio,0.7,-7.0532,2,9.618
Suministros de Oficina,Philadelphia,United States,Tracy Blumstein,Acco,17/09/2020,US-2020-150630,19140,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Este,Consumidor,21/09/2020,Standard Class,Pennsylvania,Portafolio,0.7,-5.715,6,6.858
Suministros de Oficina,Seattle,United States,Cari Sayre,Acco,17/09/2020,US-2020-138716,98105,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",Oeste,Corporativo,20/09/2020,First Class,Washington,Portafolio,0.2,7.8225,3,25.032
Suministros de Oficina,Philadelphia,United States,Tracy Blumstein,Poly,17/09/2020,US-2020-150630,19140,Poly String Tie Envelopes,Este,Consumidor,21/09/2020,Standard Class,Pennsylvania,Sobres,0.2,1.1016,2,3.264
Suministros de Oficina,New York City,United States,Peter Fuller,Avery,17/09/2020,US-2020-126977,10035,Avery 485,Este,Consumidor,23/09/2020,Standard Class,New York,Etiquetas,0,41.2237,7,87.71
Suministros de Oficina,New York City,United States,Peter Fuller,Other,17/09/2020,US-2020-126977,10035,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Este,Consumidor,23/09/2020,Standard Class,New York,Papel,0,53.2608,2,110.96
Suministros de Oficina,Los Angeles,United States,Meg O'Connel,Xerox,17/09/2020,US-2020-133025,90036,Xerox 216,Oeste,Home Office,19/09/2020,Second Class,California,Papel,0,15.552,5,32.4
Suministros de Oficina,New York City,United States,Peter Fuller,Other,17/09/2020,US-2020-126977,10035,Woodgrain Magazine Files by Perma,Este,Consumidor,23/09/2020,Standard Class,New York,Almacenamiento,0,1.043,5,14.9
Suministros de Oficina,New York City,United States,Peter Fuller,Eldon,17/09/2020,US-2020-126977,10035,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,Este,Consumidor,23/09/2020,Standard Class,New York,Almacenamiento,0,27.434,4,94.6
Tecnología,Orlando,United States,Denny Blanton,SanDisk,17/09/2020,US-2020-141145,32839,SanDisk Cruzer 64 GB USB Flash Drive,Sur,Consumidor,23/09/2020,Standard Class,Florida,Accesorios,0.2,10.896,3,87.168
Tecnología,New York City,United States,Peter Fuller,Plantronics,17/09/2020,US-2020-126977,10035,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Este,Consumidor,23/09/2020,Standard Class,New York,Accesorios,0,217.767,2,659.9
Tecnología,New York City,United States,Peter Fuller,Other,17/09/2020,US-2020-126977,10035,ARKON Windshield Dashboard Air Vent Car Mount Holder,Este,Consumidor,23/09/2020,Standard Class,New York,Telefonos,0,1.356,4,67.8
Tecnología,New York City,United States,Peter Fuller,Clearsounds,17/09/2020,US-2020-126977,10035,ClearSounds CSC500 Amplified Spirit Phone Corded phone,Este,Consumidor,23/09/2020,Standard Class,New York,Telefonos,0,58.7916,3,209.97
Muebles,Los Angeles,United States,George Bell,Advantus,18/09/2020,US-2020-167745,90049,Advantus Panel Wall Certificate Holder - 8.5x11,Oeste,Corporativo,23/09/2020,Standard Class,California,Muebleria,0,10.248,2,24.4
Suministros de Oficina,Los Angeles,United States,George Bell,Quartet,18/09/2020,US-2020-167745,90049,"Quartet Omega Colored Chalk, 12/Pack",Oeste,Corporativo,23/09/2020,Standard Class,California,Arte,0,5.4896,2,11.68
Suministros de Oficina,Clinton,United States,Ken Heidel,Acco,18/09/2020,US-2020-109575,20735,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",Este,Corporativo,23/09/2020,Standard Class,Maryland,Portafolio,0,31.8892,4,65.08
Suministros de Oficina,Long Beach,United States,Trudy Glocke,REDIFORM,18/09/2020,US-2020-149713,90805,Rediform S.O.S. Phone Message Books,Oeste,Consumidor,22/09/2020,Second Class,California,Papel,0,9.7608,4,19.92
Suministros de Oficina,Des Moines,United States,Adam Bellavance,Wirebound,18/09/2020,US-2020-150511,98198,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Oeste,Home Office,24/09/2020,Standard Class,Washington,Papel,0,8.7138,2,18.54
Suministros de Oficina,Long Beach,United States,Trudy Glocke,Other,18/09/2020,US-2020-149713,90805,Personal Creations Ink Jet Cards and Labels,Oeste,Consumidor,22/09/2020,Second Class,California,Papel,0,78.7528,14,160.72
Suministros de Oficina,Clinton,United States,Ken Heidel,SAFCO,18/09/2020,US-2020-109575,20735,Safco Industrial Wire Shelving System,Este,Corporativo,23/09/2020,Standard Class,Maryland,Almacenamiento,0,0,7,636.86
Suministros de Oficina,San Diego,United States,Charlotte Melton,Other,18/09/2020,US-2020-101154,92105,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Oeste,Consumidor,21/09/2020,First Class,California,Almacenamiento,0,8.8784,4,443.92
Suministros de Oficina,Clinton,United States,Ken Heidel,Acco,18/09/2020,US-2020-109575,20735,Acco Perma 3000 Stacking Storage Drawers,Este,Corporativo,23/09/2020,Standard Class,Maryland,Almacenamiento,0,7.9724,2,41.96
Suministros de Oficina,Long Beach,United States,Trudy Glocke,Acme,18/09/2020,US-2020-149713,90805,Acme Value Line Scissors,Oeste,Consumidor,22/09/2020,Second Class,California,Papeleria,0,2.19,2,7.3
Suministros de Oficina,Los Angeles,United States,George Bell,Other,18/09/2020,US-2020-167745,90049,"Elite 5"" Scissors",Oeste,Corporativo,23/09/2020,Standard Class,California,Papeleria,0,5.07,2,16.9
Tecnología,Jacksonville,United States,Justin Ritter,Enermax,18/09/2020,US-2020-142202,32216,Enermax Acrylux Wireless Keyboard,Sur,Corporativo,23/09/2020,Second Class,Florida,Accesorios,0.2,152.388,9,717.12
Tecnología,Clinton,United States,Ken Heidel,Samsung,18/09/2020,US-2020-109575,20735,Samsung Galaxy S4 Active,Este,Corporativo,23/09/2020,Standard Class,Maryland,Telefonos,0,129.9974,1,499.99
Tecnología,Clinton,United States,Ken Heidel,Polycom,18/09/2020,US-2020-109575,20735,Polycom VVX 310 VoIP phone,Este,Corporativo,23/09/2020,Standard Class,Maryland,Telefonos,0,327.5818,7,1259.93
Muebles,Arlington,United States,Tracy Collins,Sauder,19/09/2020,US-2020-115847,22204,Sauder Cornerstone Collection Library,Sur,Home Office,24/09/2020,Second Class,Virginia,Libreros,0,4.3372,2,61.96
Muebles,Sacramento,United States,Frank Carlisle,Seth Thomas,19/09/2020,US-2020-149517,95823,"Seth Thomas 8 1/2"" Cubicle Clock",Oeste,Home Office,23/09/2020,Standard Class,California,Muebleria,0,19.4688,3,60.84
Suministros de Oficina,Santa Fe,United States,Marc Harrigan,Newell,19/09/2020,US-2020-137603,87505,Newell 323,Oeste,Home Office,24/09/2020,Standard Class,New Mexico,Arte,0,2.184,5,8.4
Suministros de Oficina,Los Angeles,United States,Rick Wilson,Other,19/09/2020,US-2020-132815,90008,Personal Creations Ink Jet Cards and Labels,Oeste,Corporativo,22/09/2020,Second Class,California,Papel,0,11.2504,2,22.96
Tecnología,Columbus,United States,Nicole Hansen,Kensington,19/09/2020,US-2020-147102,31907,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,Sur,Corporativo,26/09/2020,Standard Class,Georgia,Accesorios,0,23.226,4,66.36
Tecnología,New York City,United States,Giulietta Weimer,Other,19/09/2020,US-2020-135489,10024,PureGear Roll-On Screen Protector,Este,Consumidor,22/09/2020,Second Class,New York,Telefonos,0,134.3328,14,279.86
Suministros de Oficina,Naperville,United States,Theone Pippenger,Acco,20/09/2020,US-2020-126970,60540,Acco Translucent Poly Ring Binders,Central,Consumidor,24/09/2020,Standard Class,Illinois,Portafolio,0.8,-4.4928,3,2.808
Suministros de Oficina,Nashville,United States,Barry Gonzalez,GBC,20/09/2020,US-2020-141565,37211,GBC Ibimaster 500 Manual ProClick Binding System,Sur,Consumidor,24/09/2020,Standard Class,Tennessee,Portafolio,0.7,-913.176,6,1369.764
Suministros de Oficina,Lawrence,United States,Alejandro Grove,GBC,20/09/2020,US-2020-153738,1841,GBC Standard Plastic Binding Systems' Combs,Este,Consumidor,22/09/2020,First Class,Massachusetts,Portafolio,0,16.956,6,37.68
Suministros de Oficina,Long Beach,United States,Tamara Chand,Other,20/09/2020,US-2020-156013,11561,Recycled Premium Regency Composition Covers,Este,Corporativo,26/09/2020,Standard Class,New York,Portafolio,0.2,8.8624,2,24.448
Suministros de Oficina,Las Vegas,United States,Anne McFarland,Wilson Jones,20/09/2020,US-2020-151470,89115,Wilson Jones Impact Binders,Oeste,Consumidor,26/09/2020,Standard Class,Nevada,Portafolio,0.2,16.5242,11,45.584
Suministros de Oficina,Long Beach,United States,Tamara Chand,Xerox,20/09/2020,US-2020-156013,11561,Xerox 1881,Este,Corporativo,26/09/2020,Standard Class,New York,Papel,0,28.858,5,61.4
Suministros de Oficina,Nashville,United States,Barry Gonzalez,Gould Plastics,20/09/2020,US-2020-141565,37211,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Sur,Consumidor,24/09/2020,Standard Class,Tennessee,Almacenamiento,0.2,-58.8736,4,294.368
Suministros de Oficina,Toronto,Canada,Alejandro Grove,GBC,20/09/2020,CA-2020-153738,M2N,GBC Standard Plastic Binding Systems' Combs,Este,Consumidor,22/09/2020,First Class,Ontario,Portafolio,0.2,8.8624,2,24.448
Muebles,Lincoln Park,United States,Dario Medina,O'Sullivan,21/09/2020,US-2020-168480,48146,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Central,Corporativo,27/09/2020,Standard Class,Michigan,Libreros,0,31.0912,4,194.32
Muebles,Columbia,United States,Giulietta Baptist,Global,21/09/2020,US-2020-158421,29203,Global Comet Stacking Arm Chair,Sur,Consumidor,26/09/2020,Standard Class,South Carolina,Sillas,0,422.51,4,1690.04
Muebles,Everett,United States,Tracy Hopkins,Global,21/09/2020,US-2020-117800,2149,Global Ergonomic Managers Chair,Este,Home Office,26/09/2020,Standard Class,Massachusetts,Sillas,0,141.1644,3,542.94
Muebles,Los Angeles,United States,Cynthia Delaney,Hon,21/09/2020,US-2020-149972,90036,Hon Every-Day Series Multi-Task Chairs,Oeste,Home Office,23/09/2020,First Class,California,Sillas,0.2,0,4,601.536
Muebles,Houston,United States,Stuart Van,Other,21/09/2020,US-2020-126697,77041,Longer-Life Soft White Bulbs,Central,Corporativo,24/09/2020,First Class,Texas,Muebleria,0.6,-1.4784,4,4.928
Muebles,Quincy,United States,Duane Huffman,Deflect-o,21/09/2020,US-2020-127593,2169,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Este,Home Office,21/09/2020,Mismo Dia,Massachusetts,Muebleria,0,14.501,2,85.3
Suministros de Oficina,Lincoln Park,United States,Dario Medina,Boston,21/09/2020,US-2020-168480,48146,"BOSTON Ranger #55 Pencil Sharpener, Black",Central,Corporativo,27/09/2020,Standard Class,Michigan,Arte,0,7.5371,1,25.99
Suministros de Oficina,Columbia,United States,Giulietta Baptist,Angle-D,21/09/2020,US-2020-158421,29203,"Angle-D Binders with Locking Rings, Label Holders",Sur,Consumidor,26/09/2020,Standard Class,South Carolina,Portafolio,0,6.862,2,14.6
Suministros de Oficina,Columbia,United States,Giulietta Baptist,Tyvek,21/09/2020,US-2020-158421,29203,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",Sur,Consumidor,26/09/2020,Standard Class,South Carolina,Sobres,0,57.3212,2,121.96
Suministros de Oficina,Los Angeles,United States,Cynthia Delaney,Advantus,21/09/2020,US-2020-149972,90036,Advantus Map Pennant Flags and Round Head Tacks,Oeste,Home Office,23/09/2020,First Class,California,Ajustadores,0,2.528,2,7.9
Suministros de Oficina,Columbia,United States,Giulietta Baptist,Xerox,21/09/2020,US-2020-158421,29203,Xerox 193,Sur,Consumidor,26/09/2020,Standard Class,South Carolina,Papel,0,11.7208,4,23.92
Suministros de Oficina,Columbia,United States,Giulietta Baptist,Fellowes,21/09/2020,US-2020-158421,29203,Fellowes Bankers Box Stor/Drawer Steel Plus,Sur,Consumidor,26/09/2020,Standard Class,South Carolina,Almacenamiento,0,6.396,2,63.96
Suministros de Oficina,Columbia,United States,Giulietta Baptist,Other,21/09/2020,US-2020-158421,29203,Recycled Eldon Regeneration Jumbo File,Sur,Consumidor,26/09/2020,Standard Class,South Carolina,Almacenamiento,0,24.0688,7,85.96
Suministros de Oficina,Seattle,United States,Chad Sievert,Fellowes,21/09/2020,US-2020-102036,98105,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Oeste,Consumidor,27/09/2020,Standard Class,Washington,Almacenamiento,0,47.9376,6,199.74
Suministros de Oficina,Columbia,United States,Giulietta Baptist,Other,21/09/2020,US-2020-158421,29203,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Sur,Consumidor,26/09/2020,Standard Class,South Carolina,Almacenamiento,0,17.7568,8,887.84
Tecnología,Houston,United States,Stuart Van,Other,21/09/2020,US-2020-126697,77041,Hypercom P1300 Pinpad,Central,Corporativo,24/09/2020,First Class,Texas,Accesorios,0.2,32.13,3,151.2
Tecnología,Columbia,United States,Giulietta Baptist,HTC,21/09/2020,US-2020-158421,29203,HTC One Mini,Sur,Consumidor,26/09/2020,Standard Class,South Carolina,Telefonos,0,176.386,5,629.95
Tecnología,Everett,United States,Tracy Hopkins,Polycom,21/09/2020,US-2020-117800,2149,Polycom VoiceStation 500 Conference phone,Este,Home Office,26/09/2020,Standard Class,Massachusetts,Telefonos,0,147.475,2,589.9
Tecnología,Columbia,United States,Giulietta Baptist,Grandstream,21/09/2020,US-2020-158421,29203,Grandstream GXP1160 VoIP phone,Sur,Consumidor,26/09/2020,Standard Class,South Carolina,Telefonos,0,32.9817,3,113.73
